,runstring,instability_time,shadow_instability_time,Stable,Mstar,Z12,Z23,mu1,mu2,mu3,e1,e2,e3,h1,h2,h3,k1,k2,k3,ecom,spockprob
368,0000368.bin,999000000.030008,999000000.030008,True,0.907,0.0062559537314335585,0.11592437144460231,2.4202861683e-05,1.2310573275e-05,6.523116599999999e-08,0.10152302627872621,0.08228022129698043,0.1979965741593608,-0.08094722000000024,-0.06585968000000039,-0.1961159299999999,0.06127374999999995,0.049320760000000206,0.027224719999999935,0.09517411105966979,0.8150762915611267
369,0000369.bin,999000000.0151047,999000000.0151047,True,0.907,0.00624367554994498,0.12963510971592304,2.3848492667999996e-05,1.6830616803000005e-05,2.01945744e-07,0.013870341513722819,0.013874176317263159,0.15199012560181854,0.008145430000000219,0.013260600000000376,-0.15096892000000056,0.011226679999999958,0.004080349999999504,0.01758930000000004,0.01259952940406507,0.8095670342445374
370,0000370.bin,999000000.0195848,999000000.0195848,True,0.907,0.00637914582934069,0.12860693921255573,2.5294656387e-05,1.3719995288999998e-05,5.72624052e-07,0.016626111871658234,0.021339633899168087,0.15648591542962667,-0.0017286700000005678,0.004565370000000445,-0.1564775100000002,-0.016535999999999787,-0.020845560000000474,-0.0016219100000003236,0.01790313964266329,0.9020108580589294
371,0000371.bin,999000000.0132713,999000000.0132713,True,0.907,0.006434550644352964,0.13467792483232216,2.3722784085e-05,1.4660588942999998e-05,1.3752809069999999e-06,0.024992854718811224,0.014512203904527515,0.17948972783700698,-0.022724500000000078,-0.014171149999999516,-0.17911804999999983,0.010403840000000046,0.0031277099999995816,0.011544979999999984,0.02615794948283781,0.6703298091888428
372,0000372.bin,5508803.552325702,2302871.3913611583,False,0.907,0.00613291284162302,0.11981512298425741,2.1850356527999997e-05,1.2731548829999999e-05,4.50317868e-07,0.08575908479900303,0.07034345139944137,0.10452918817265276,-0.011928049999999949,-0.004641399999999657,-0.06649027000000012,0.08492550999999997,0.07019015999999981,-0.08065603000000021,0.07808246113091961,0.8891783356666565
373,0000373.bin,1000000000.0,1000000000.0000012,True,0.907,0.005657351086772574,0.04253114296938743,2.1068306259e-05,8.985135158999999e-06,7.3186113e-08,0.10737444840154552,0.08844685299705532,0.11674289322968204,-0.08995890999999975,-0.07484515000000067,-0.11224386999999975,0.058623090000000044,0.04712801000000014,0.03209698999999996,0.10173754659325704,0.8898335695266724
374,0000374.bin,999000000.0162752,999000000.0162752,True,0.907,0.005834123809368697,0.06808219621102803,2.2996757784e-05,1.2078531465000001e-05,5.721817100999999e-06,0.023298030178300542,0.013665000505539811,0.08953475730088832,-0.010103090000000033,-0.0033915999999999456,-0.08762812999999986,0.020993470000000052,0.013237420000000139,0.018378889999999964,0.026392968302973406,0.7985713481903076
375,0000375.bin,999000000.0067493,999000000.0067493,True,0.907,0.006428884565030366,0.11786543970837002,2.5398512138999998e-05,1.6562427882e-05,1.952481531e-06,0.017418861307634342,0.017979132288497967,0.1533032133101744,-0.012261390000000056,-0.004909879999999865,0.11122794999999891,-0.012372349999999975,-0.017295730000000332,-0.10549985000000038,0.018799944724888915,0.5342058539390564
376,0000376.bin,1089087.1875115891,549699.5790852803,False,0.907,0.00631830635380515,0.12613308495178693,2.3492553083999997e-05,1.0575205641000001e-05,2.8053215189999995e-06,0.14605760353703068,0.12215446519072881,0.07157641214900404,-0.12606508999999982,-0.10612396999999989,0.02352379000000035,0.07375917999999984,0.060493110000000024,-0.06760039999999982,0.12400815544622394,0.5552275776863098
377,0000377.bin,999000000.0090016,999000000.0090016,True,0.907,0.0066221604811459705,0.08944305286780288,2.376114741e-05,1.7638504884e-05,2.178655479e-06,0.04276373731151779,0.034939179650994905,0.08493327733844311,0.011556460000000119,0.01681701999999992,-0.022437550000000334,0.041172629999999946,0.030625709999999987,-0.08191591999999986,0.03300353011910781,0.9002039432525635
378,0000378.bin,1000000000.0,999000000.0144414,True,0.907,0.006043192137609722,0.05096599337134154,2.5565481941999997e-05,1.0162353201e-05,1.2341369040000002e-06,0.05124912938964412,0.03771625409275448,0.034112077622996326,-0.03233977999999976,-0.022892740000000186,0.01672993000000069,0.03975691,0.02997396000000018,-0.02972782000000006,0.0446900153143401,0.9431561231613159
379,0000379.bin,1000000000.0,1000000000.0,True,0.907,0.006196806762962129,0.12512458353760905,2.5489857392999998e-05,1.4629339725e-05,7.29557829e-07,0.034738043606610806,0.03871845239647367,0.14550808962917672,0.010036179999999551,0.01466453999999993,-0.14449627000000007,-0.033256680000000045,-0.03583391999999999,-0.017129860000000077,0.03504935235713958,0.9105164408683777
380,0000380.bin,738296.0784027728,926677.9422104296,False,0.907,0.006842893787471,0.12799540347395463,3.098726630999999e-05,1.7643658031999997e-05,3.7790652900000004e-07,0.08368206308245157,0.083043654618058,0.101248933201166,0.07802564999999988,0.07577783000000003,-0.0999545000000004,-0.030243770000000402,-0.033970120000000034,-0.016138289999999847,0.08211629244938251,0.9543824195861816
381,0000381.bin,999000000.017775,999000000.017775,True,0.907,0.005912599146867581,0.1303814260028,2.2385734371000002e-05,1.1126742627e-05,1.500277779e-06,0.03317692960444626,0.023590742178210677,0.18136957951207747,-0.03249989999999977,-0.023590480000000174,-0.18093605999999943,0.006668219999999807,0.00011122000000008973,0.01253262000000007,0.03635205003238644,0.7315810918807983
382,0000382.bin,4013129.535222257,389088.23958785174,False,0.907,0.006149515818770228,0.1591245573998327,2.3567913368999997e-05,9.202996803e-06,1.6420103699999998e-07,0.17035795319911576,0.1440865241068706,0.11245422871883563,-0.14328508999999964,-0.12172019999999932,0.0010431899999998361,0.09214779000000009,0.07710459999999979,-0.11244938999999998,0.161860787143907,0.17165984213352203
